"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
Running,"Run","","","","2025-06-23","","10000","","","","","0.75","","","","","","","","","0.65","35","5","45","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-06-25","","10000","","","","","0.75","","","","","","","","","0.65","35","5","45","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-06-27","","10000","","","","","0.75","","","","","","","","","0.65","35","5","45","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-06-30","","10000","","","","","0.75","","","","","","","","","0.65","37","5","47","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-02","","10000","","","","","0.75","","","","","","","","","0.65","37","5","47","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-04","","10000","","","","","0.75","","","","","","","","","0.65","37","5","47","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-07","","10000","","","","","0.75","","","","","","","","","0.65","39","5","50","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-09","","10000","","","","","0.75","","","","","","","","","0.65","39","5","50","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-11","","10000","","","","","0.75","","","","","","","","","0.65","39","5","50","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-14","","10000","","","","","0.75","","","","","","","","","0.65","41","5","53","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-16","","10000","","","","","0.75","","","","","","","","","0.65","41","5","53","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-18","","10000","","","","","0.75","","","","","","","","","0.65","41","5","53","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-21","","10000","","","","","0.75","","","","","","","","","0.65","43","5","55","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-23","","10000","","","","","0.75","","","","","","","","","0.65","43","5","55","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-25","","10000","","","","","0.75","","","","","","","","","0.65","43","5","55","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-28","","10000","","","","","0.75","","","","","","","","","0.65","45","5","58","5","0","0","0","0","","","","","","","","","","","","","","3","5"
Running,"Run","","","","2025-07-30","","10000","","","","","0.75","","","","","","","","","0.65","45","5","58","5","0","0","0","0","","","","","","","","","","","","","","3","5"
