"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2025-06-14","","6150","","","","","0.62","2.75","","160","","162","185","","","0.81","44","1","18","9","10","0","1","0","","","","","","","","","","","","","","6","3"
"Running","Run","","","","2025-06-17","","7850","","","","","1.03","2.12","","125","","166","200","","","0.74","62","12","15","4","9","4","9","13","","","","","","","","","","","","","","7","4"
"Cardio","Other","","","","2025-06-18","","0","","","","","0.51","0","","","","140","184","","","0.69","27","7","9","6","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-06-19","","6200","","","","","0.64","2.69","","152","","169","187","","","0.80","45","1","5","15","17","4","1","0","","","","","","","","","","","","","","5","4"
"Cardio","Other","","","","2025-06-19","","0","","","","","0.24","0","","","","135","159","","","0.64","10","7","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-20","","0","","","","","0.69","0","","","","122","153","","","0.60","28","11","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-06-21","","8620","","","","","0.95","2.52","","153","","161","182","","","0.74","58","5","22","19","13","2","0","0","","","","","","","","","","","","","","6","4"
"Cardio","Other","","","","2025-06-21","","0","","","","","0.35","0","","","","135","160","","","0.64","16","6","8","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-22","","0","","","","","0.74","0","","","","129","169","","","0.62","32","16","6","1","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-23","","0","","","","","0.41","0","","","","129","167","","","0.63","17","8","3","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-06-23","","8625","","","","","0.81","2.94","","160","","157","175","","","0.85","65","2","35","10","3","0","0","0","","","","","","","","","","","","","","7","5"
"Cardio","Other","","","","2025-06-24","","0","","","","","0.76","0","","","","122","160","","","0.61","31","12","3","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-25","","0","","","","","0.26","0","","","","127","155","","","0.62","10","6","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-06-25","","10950","","","","","1.04","2.92","","164","","161","183","","","0.86","85","4","26","23","12","1","0","0","","","","","","","","","","","","","","8","5"
"Cardio","Other","","","","2025-06-26","","0","","","","","0.75","0","","","","128","156","","","0.61","31","15","7","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-06-27","","6390","","","","","0.61","2.89","","157","","154","176","","","0.85","48","4","26","3","5","0","0","0","","","","","","","","","","","","","","6","3"
"Cardio","Other","","","","2025-06-27","","0","","","","","0.40","0","","","","137","163","","","0.63","17","13","7","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-28","","0","","","","","0.43","0","","","","106","138","","","0.58","16","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-29","","0","","","","","0.89","0","","","","125","156","","","0.61","37","17","5","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-30","","0","","","","","1.02","0","","","","115","150","","","0.59","40","12","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-30","","0","","","","","0.11","0","","","","130","148","","","0.62","4","4","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-06-30","","0","","","","","0.13","0","","","","124","145","","","0.61","5","4","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-01","","6700","","","","","0.77","2.42","","141","","154","175","","","0.71","43","5","24","14","3","0","0","0","","","","","","","","","","","","","","3","2"
"Cardio","Other","","","","2025-07-02","","0","","","","","0.81","0","","","","119","152","","","0.60","32","9","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2025-07-02","","","","","","","0.39","","","","","72","94","","","0.53","12","","","","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-03","","0","","","","","0.61","0","","","","116","149","","","0.60","24","6","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-03","","8535","","","","","0.84","2.82","","159","","152","174","","","0.82","62","8","39","5","2","0","0","0","","","","","","","","","","","","","","4","4"
"Cardio","Other","","","","2025-07-05","","0","","","","","0.77","0","","","","115","158","","","0.60","31","6","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-05","","0","","","","","0.96","0","","","","127","167","","","0.61","39","22","2","1","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-07","","0","","","","","0.68","0","","","","128","157","","","0.61","28","17","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-08","","0","","","","","0.74","0","","","","119","155","","","0.60","29","10","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-08","","3840","","","","","0.36","2.97","","163","","142","164","","","0.86","29","10","10","0","0","0","0","0","","","","","","","","","","","","","","3","3"
"Cardio","Other","","","","2025-07-09","","0","","","","","0.75","0","","","","122","150","","","0.60","30","14","3","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-10","","0","","","","","0.53","0","","","","135","164","","","0.65","24","12","10","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-10","","4090","","","","","0.45","2.54","","142","","158","173","","","0.74","27","2","14","10","2","0","0","0","","","","","","","","","","","","","","4","3"
"Cardio","Other","","","","2025-07-11","","0","","","","","0.96","0","","","","121","150","","","0.60","39","17","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-12","","0","","","","","0.52","0","","","","118","148","","","0.60","21","8","1","0","0","0","0","0","","","","","","","","","","","","","","",""
